articleNo,articleName,articleSubName,cpId,cortarNo,tradeBuildingTypeCode,exposeStartYMD,exposeEndYMD,articleConfirmYMD,tradeCompleteYN,totalDongCount,buildingTypeName,articleStatusCode,articleTypeCode,realestateTypeCode,realestateTypeName,tradeTypeCode,tradeTypeName,verificationTypeCode,verificationTypeName,applyYN,directTradeYN,mapLocationIndicationYn,latitude,longitude,location,pnu,cityNo,cityName,divisionName,sectionName,realtorId,walkingTimeToNearSubway,grandPlanList,detailAddress,etcAddress,exposureAddress,virtualAddressYn,roomCount,bathroomCount,householdCount,moveInTypeCode,moveInTypeName,moveInPossibleYmd,monthlyManagementCost,buildingName,buildingTypeCode,articleFeatureDescription,detailDescription,parkingCount,parkingPossibleYN,duplexYN,floorLayerName,hasBuildingUnitInfo,lawUsage,tagList,isInterest,isFalseHoodDeclared,isBlockFalseHood,detailAddressYn,isComplex,isOwnerTradeCompleted,currentUsage,recommendUsage,electricPowerTypeCode,electricPowerTypeName,moveInDiscussionPossibleYN,jibunAddressExposureYn,nnhscpPlanBildNo
2203341748,중소형사무실 부평제이타워3차 ,,bizmk,2823710400,SPOFC,20220205,20220307,20220204,N,0,중소형사무실,R0,D01,SMS,사무실,B2,월세,SITE,현장,N,N,Y,37.5217837,126.7212123,37.5217837126.7212123,2.82371040010426e+18,2800000000,인천시,부평구,청천동,5291588,8,,,"11,361,137",인천시 부평구 청천동,N,-,-,1.0,MV001,즉시입주,NOW,200000.0,부평제이타워3차 ,D0102,공장등록 가능한 11층사무실  전용29ㅍ  베란다4.5ㅍ ,"천장텍스마감
11층 주차장
부평IC접함, 갈산역 도보7분거리
전기:산업용30kw",939.0,Y,N,단층,False,공장,"2년이내,관리비20만원이하,주차가능,베란다",False,False,False,N,False,False,,,,,,,
2203318257,지식산업센터 부평제이타워3차,,bizmk,2823710400,ROOM,20220205,20220307,20220204,N,0,지식산업센터,R0,E04,APTHGJ,지식산업센터,B2,월세,SITE,현장,N,N,Y,37.5217837,126.7212123,37.5217837126.7212123,2.82371040010426e+18,2800000000,인천시,부평구,청천동,5291588,8,,,314,인천시 부평구 청천동,N,-,-,,MV001,즉시입주,NOW,0.0,부평제이타워3차,E0203,공장  분양51ㅍ 전용26ㅍ 베란다2.5ㅍ,"3층공장  층고5m
동력25kw
공장 앞 상하차 가능 주차가능",2.0,Y,N,단층,False,공장,"15년이내,주차가능,엘리베이터,화재경보기",False,False,False,N,False,False,공장,공장,,,,,
2203383861,공장 부평테크노파크,,SERVE,2823710400,BILD,20220205,20220307,20220204,N,0,공장,R0,E02,GJCG,공장/창고,B2,월세,SITE,현장,N,N,Y,37.5171237,126.7184344,37.5171237126.7184344,2.82371040010424e+18,2800000000,인천시,부평구,청천동,,4,,,607,인천시 부평구 청천동,N,-,-,,MV001,즉시입주,NOW,0.0,부평테크노파크,E0201,갈산역인근신축지식산업센터 첫입주,"*갈산역바로인접한 신축 아파트형공장
*교통여건 아주좋으며 호실앞까지 차량진입 물건 상하차 편리
*첫입주로 즉시입주가능
*층고6m 로 복층공사 해놓은상태이며 사무실과 제조공장으로 같이사용가능",0.0,,N,단층,False,공장,"2년이내,융자금없는,역세권",False,False,False,N,False,False,,,,,,,
2203332682,공장 부평제이타워3차,,bizmk,2823710400,BILD,20220205,20220307,20220204,N,0,공장,R0,E02,GJCG,공장/창고,B2,월세,SITE,현장,N,N,Y,37.5217837,126.7212123,37.5217837126.7212123,2.82371040010426e+18,2800000000,인천시,부평구,청천동,5291588,8,,,606,인천시 부평구 청천동,N,-,-,,MV001,즉시입주,NOW,0.0,부평제이타워3차,E0201,공장내 차량진입 및 상하차가능  전용26 베란다2.5,"층고5m
부평IC접함",2.0,,N,단층,False,공장,"2년이내,엘리베이터,화재경보기,베란다",False,False,False,N,False,False,공장,공장 및 창고,2.0,25-50,,,
2203484141,지식산업센터 부평테크시티,,SERVE,2823710400,ROOM,20220205,20220307,20220204,N,0,지식산업센터,R0,E04,APTHGJ,지식산업센터,B2,월세,SITE,현장,N,N,Y,37.5177077,126.7209579,37.5177077126.7209579,2.82371040010425e+18,2800000000,인천시,부평구,청천동,,2,,,708,인천시 부평구 청천동,N,-,-,,MV001,즉시입주,NOW,0.0,부평테크시티,E0203,"천장형 냉난방기 설치됨, 전용 29ㅍ","*갈산역 바로앞 지식산업센터
*조용하고 깨끗한 사무실인테리어와 씨스템냉난방기 설치됨
*바로 입주가능",,N,N,단층,False,공장,"4년이내,융자금없는,역세권,천장에어컨",False,False,False,N,False,False,,,,,,,
2203035008,지식산업센터 부평테크노파크,,SERVE,2823710400,ROOM,20220204,20220306,20220203,N,0,지식산업센터,R0,E04,APTHGJ,지식산업센터,B2,월세,SITE,현장,N,N,Y,37.5171237,126.7184344,37.5171237126.7184344,2.82371040010424e+18,2800000000,인천시,부평구,청천동,,4,,,508,인천시 부평구 청천동,N,-,-,,MV001,즉시입주,NOW,0.0,부평테크노파크,E0203,복층공사하여 인테리어 잘된 사무실겸 제조시설 사용적합  5층 전용 38ㅍ,"* 갈산역 바로 옆 지식산업센터 첫입주
*드라이브인 으로 내호실앞까지 차량이동 주차가능
*복층공사 시스템 냉난방기 설치된 인테리어 잘된 사무실
*신축으로 첫입주

지식산업센터 임대및 매매 평수 다양하게 있으니 연락주시기 바랍니다
나공단부동산 : 010-9117-6332",,N,N,단층,False,공장,"2년이내,융자금없는,역세권,천장에어컨",False,False,False,N,False,False,,,,,,,
2202981411,공장,,SERVE,2823710400,BILD,20220129,20220228,20220128,N,0,공장,R0,E02,GJCG,공장/창고,B2,월세,SITE,현장,N,N,Y,37.5232988,126.7118662,37.5232988126.7118662,2.82371040010403e+18,2800000000,인천시,부평구,청천동,p1154919,0,,,3층전체,인천시 부평구 청천동,N,-,-,,MV001,즉시입주,NOW,0.0,,E0201,신축 층고 높아요,,0.0,,N,단층,False,공장,"2년이내,융자금없는",False,False,False,N,False,False,,,,,,,
2202876990,공장,,SERVE,2823710400,BILD,20220128,20220227,20220127,N,0,공장,R0,E02,GJCG,공장/창고,B2,월세,SITE,현장,N,N,Y,37.5223205,126.707519,37.5223205126.707519,2.82371040010391e+18,2800000000,인천시,부평구,청천동,p1154919,0,,,3층 전체,인천시 부평구 청천동,N,-,-,,MV001,즉시입주,NOW,0.0,,E0201,3층 80ㅍ,*3층 80평입니다,0.0,,N,단층,False,제2종 근린생활시설,"15년이내,융자금없는",False,False,False,N,False,False,,,,,,,
2203700535,지식산업센터 부평 제이타워3차 지식산업센터 ,,hkdotcom,2823710400,ROOM,20220204,20220306,20220204,N,0,지식산업센터,R0,E04,APTHGJ,지식산업센터,B2,월세,OWNER,소유자,N,N,Y,37.5217837,126.7212123,37.5217837126.7212123,2.82371040010426e+18,2800000000,인천시,부평구,청천동,kkt2729nv,8,,,부평 제이타워3차 지식산업센터 부평 제이타워3차 지식산업센터 1004호,인천시 부평구 청천동,N,-,-,,MV001,즉시입주,NOW,0.0,부평 제이타워3차 지식산업센터 ,E0203,부평제이타워3차 냉난방기 설치 차량 공장 내부로 진출입 가능,"O 물건특징 - 냉난방기 설치되어 있습니다.
             드라이브 인 시스템으로 공장 앞에 차량 2대를 주차할 수 있습니다. 
             슬라이딩 도어로 차량이 공장 안으로 진출입할 수 있습니다.
O 전철-인천지하철 1호선 갈산역 (476m) 도보 7분

부평 갈산동(갈산역)에서 또는 청천동에서 지식산업센터의 공장을 매매하거나 임대하실 때 또는 갈산역 인근의 지식산업센터를 매매하거나 임대차 하실 때 저희 김규태공인중개사를 찾아주시면 신뢰를 바탕으로 성심을 다해 중개하겠습니다.

문    의 : 갈산역 이안아파트 정문 앞 김규태공인중개사
전화번호 : 010-4513-1826 / 032-506-8924
등록번호 : 가3360-2858
주    소 : 인천광역시 부평구 평천로 305 (갈산동 160-17번지)",932.0,Y,N,단층,False,공장,"2년이내,융자금없는,주차가능",False,False,False,N,False,False,공장,공장,,,,,
2202795669,공장 부평제이타워3차,,bizmk,2823710400,BILD,20220128,20220227,20220127,N,0,공장,R0,E02,GJCG,공장/창고,B2,월세,SITE,현장,N,N,Y,37.5217837,126.7212123,37.5217837126.7212123,2.82371040010426e+18,2800000000,인천시,부평구,청천동,5291588,8,,,540,인천시 부평구 청천동,N,-,-,,MV001,즉시입주,NOW,0.0,부평제이타워3차,E0201,제이타워3차 5층 공장 임대  ,"전용26P 베란다2.5P
층고5.5m   
동력25kw(삼상380) 증설도 가능
",2.0,,N,단층,False,공장,"2년이내,엘리베이터,화재경보기",False,False,False,N,False,False,공장,공장,2.0,25-50,,,
