articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,realtorName,search_day,articleDetail.verificationTypeName,articleDetail.mapLocationIndicationYn,articleDetail.etcAddress,articleDetail.articleFeatureDescription,articleDetail.detailDescription,articleBuildingRegister.platPlc,address,building_name
2203341748,중소형사무실,월세,11월 15일,140,"1,400",187,95,모아부동산컨설팅공인,20220207,현장,Y,"1136,1137",공장등록 가능한 11층사무실  전용29ㅍ  베란다4.5ㅍ ,"천장텍스마감
11층 주차장
부평IC접함, 갈산역 도보7분거리
전기:산업용30kw",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2203318257,지식산업센터,월세,03월 15일,110,"1,200",98,86,모아부동산컨설팅공인,20220207,현장,Y,314,공장  분양51ㅍ 전용26ㅍ 베란다2.5ㅍ,"3층공장  층고5m
동력25kw
공장 앞 상하차 가능 주차가능",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2203332682,공장,월세,15/B1,100,"1,000",15788,170,모아부동산컨설팅공인,20220207,현장,Y,606,공장내 차량진입 및 상하차가능  전용26 베란다2.5,"층고5m
부평IC접함",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2203700535,지식산업센터,월세,10월 15일,130,"1,300",170,86,김규태공인중개사사무소,20220207,소유자,Y,부평 제이타워3차 지식산업센터 부평 제이타워3차 지식산업센터 1004호,부평제이타워3차 냉난방기 설치 차량 공장 내부로 진출입 가능,"O 물건특징 - 냉난방기 설치되어 있습니다.
             드라이브 인 시스템으로 공장 앞에 차량 2대를 주차할 수 있습니다. 
             슬라이딩 도어로 차량이 공장 안으로 진출입할 수 있습니다.
O 전철-인천지하철 1호선 갈산역 (476m) 도보 7분

부평 갈산동(갈산역)에서 또는 청천동에서 지식산업센터의 공장을 매매하거나 임대하실 때 또는 갈산역 인근의 지식산업센터를 매매하거나 임대차 하실 때 저희 김규태공인중개사를 찾아주시면 신뢰를 바탕으로 성심을 다해 중개하겠습니다.

문    의 : 갈산역 이안아파트 정문 앞 김규태공인중개사
전화번호 : 010-4513-1826 / 032-506-8924
등록번호 : 가3360-2858
주    소 : 인천광역시 부평구 평천로 305 (갈산동 160-17번지)",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2202795669,공장,월세,15/B1,110,"1,200",15788,170,모아부동산컨설팅공인,20220207,현장,Y,540,제이타워3차 5층 공장 임대  ,"전용26P 베란다2.5P
층고5.5m   
동력25kw(삼상380) 증설도 가능
",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2203514480,공장,월세,15/-,110,"1,000",15788,86,(주)공단부동산공인중개사사무소,20220207,소유자,Y,부평 제이타워3차 지식산업센터 제842호,지식산업센터 전용26ㅍ 드라이브인시스템 소형공장삼실또는전자쇼핑몰충전포장업,"*부평IC 입출 최적인 신축 분양52평~
인천1호선 갈산역 도보5분~ 대형화물엘베~
그 외 궁금한 사항이나 산업단지 입주관련 전화문의
주시면 자세한 상담 도와드리겠습니다~

--->이밖에 15p 30p 40p 50p 80p 100p 200p 300p 400p 500p~
1000p 2000p~ 하시 입주가~

# 청천동 부평공단내 단독공장 매각중입니다~
(250평-38억, 400평-54억, 500평-43억, 620평-95억
920평-95억, 1400평-190억, 1620평-215억)

# 부평구 지식산업센터 (구)아파트형공장 미계약분 분양중입니다~
(테타, 제타, 엠투, 유원등) 30p형~ 400만원대부터~
90%이상 대출가~ 저렴한이율 1.7%~",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2202293404,공장,매매,15/B1,,"3억 4,600",15788,170,모아부동산컨설팅공인,20220207,현장,Y,434,,"2개호실 동시에 매매 가능합니다.
층고5.5m
동력25kw(삼상380)     증설도 가능
공장내 차량진입 및 상하차 가능",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2203688684,지식산업센터,월세,10월 15일,130,"1,300",170,86,명공인중개사사무소,20220207,,Y,1004,최고의 시설 드라이브인 가능한 곳에서 사업 시작 하세요,"≡≡≡≡≡≡ 【 임대현황 】 ≡≡≡≡≡≡

◆소재지 : 갈산역 인근 도보5분
◆계약면적 : 약51평
◆전용면적 : 약26평
◆임대조건 : 보증금 1300만원, 월세 130만원
◆주차 가능 여부 : 가능
◆특징 : → 드라이브인 로얄층
           → 40평대 시스템에어컨 
           → 경인고속도로 서운IC, 서울외각 순환도로 계양IC접근성우수
            
※ 공인중개사법 18조 2,3항에 의거하여
해당 매물은 최초 게재일 당시
거래 가능한 실매물임을 확인하였으나
광고 내용을 보는 시점에 거래가 완료되었을 수 있으므로
거래 완료 여부 및 자세한 내용은
유선 상으로 확인해주시기 바랍니다.

★ 물건에 관해 궁금하신 사항은 언제든지 방문하여주시면
원하는 조건에 맞는 또 다른 물건들을 다양하게
비교해서 보실 수 있습니다.

★ 고객님이 만족하실 수 있는 물건을 구해 드리기
위해 최선을 다하겠습니다.

▣ 명공인중개사사무소 ▣
☎ 032-328-0081/☎ 010-9478-9574",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2203761946,지식산업센터,월세,10월 15일,130,"1,300",172,86,미래공인중개사사무소,20220207,,Y,1004호,부평제이타워3차 전용26 갈산역5분  난방기설치 사무실,"부평제이타워3차 전용26 갈산역5분  난방기설치 사무실
- 문의, 방문 언제나 환영하며 다양한 매물
확보하고 있습니다.
-성실, 신속, 정확한 중개사로서 고객의 재산과 인연을
소중하게 생각합니다
-복드리는 미래부동산",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2201480110,공장,매매,15/B1,,"3억 2,000",15778,86,(주)공단부동산공인중개사사무소,20220207,현장,Y,745,분양받은금액그대로 신축아파트형공장 전용26ㅍ 분양52ㅍ 드라이브인시스템 ,"**공장앞 주차, 부평IC와 접해있어 물류접근성 쵝오~ 
인천1호선 갈산역 도보5분~ 대형화물엘베~
그 외 궁금한 사항이나 산업단지 입주관련 전화문의 
주시면 자세한 상담 도와드리겠습니다~

--->이밖에 15p 30p 40p 50p 80p 100p 200p 300p 400p 500p~
1000p 2000p~ 하시 입주가~

# 청천동 부평공단내 단독공장 매각중입니다~
(250평-38억, 400평-54억, 500평-43억, 620평-95억
920평-95억, 1400평-190억, 1620평-215억)

# 부평구 지식산업센터 (구)아파트형공장 미계약분 분양중입니다~
(테타, 제타, 엠투, 유원등) 30p형~ 400만원대부터~
90%이상 대출가~ 저렴한이율 1.7%~",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2201534858,지식산업센터,월세,10월 15일,130,"1,500",98,86,모아부동산컨설팅공인,20220207,현장,Y,1030,,"전용26P/베란다2.5.P/복층29P 
드라이브인 10층공장
공장앞 .5톤 차량 진입 가능 상하차 가능
동력25KW(삼상380)
",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
