매물번호,카테고리,거래분류,임대료,보증금,대지면적,연면적,부동산이름,매물확인날짜,광고형태,공개여부,상세주소,매물특징,매물설명,주소,건물이름
2206760348,지식산업센터,월세,100,"1,000",170,86,모아부동산컨설팅공인,20220304,,Y,1003호,제이타워3차 10층공장  전용26ㅍ ,"10층 공장 사무실
동력25kw(산업용380)  증설도가능
제조업  비제조업도 입주가능(단 지식산업센타 입주 가능 업종 기준)",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2206760179,공장,월세,100,"1,000",15788,170,모아부동산컨설팅공인,20220304,,N,619호,,"공장앞 주차 및 상하차 가능
층고5m
3.5톤 차량진입 가능
제조업및 비제조업도 입주가능( 지식산업센타 입주가능업종 기준) ",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2206759974,공장,월세,110,"1,200",15788,170,모아부동산컨설팅공인,20220304,,N,218호,공장내 차량진입 및 상하차가능 분양51 전용26ㅍ,"2층 공장 
층고5.5m
",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2206760244,지식산업센터,월세,100,"1,000",169,86,모아부동산컨설팅공인,20220304,,N,904호,공장내 차량진입 및 상하차가능 분양51 전용26,"9층 공장  층고5m
동력25kw(삼상380)  증설도 가능
제조업및 비제조업도 입주 가능(단 지식산업센타 입주업종 기준)
",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2206371345,지식산업센터,월세,100,"1,000",98,86,모아부동산컨설팅공인,20220303,현장,Y,817,제이타워3차8층 공장  전용26 베란다2.5 ,"8층공장
동력25kw(삼상380) 증설가능
층고5m  공장내 차량진입 및 상하차 가능
임가공,식품,창고,사무실,모두가능   ",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2206370506,공장,매매,,"3억 4,600",15788,170,모아부동산컨설팅공인,20220303,현장,Y,434,,"2개호실 동시에 매매 가능합니다.
층고5.5m
동력25kw(삼상380)     증설도 가능
공장내 차량진입 및 상하차 가능",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2206372841,공장,월세,70,"1,000",15788,100,모아부동산컨설팅공인,20220303,현장,Y,1252호,소형공장 및 사무실 전용15ㅍ,"12층 공장 및 사무실
동력10kw
화물승강기,인승기
",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2206679083,지식산업센터,월세,120,"1,200",169,86,제이타워공단부동산공인중개사사무소,20220303,,Y,214호,전용26 2층 저층 드라이브인 층고높음,"▣ 전용 약 26평
▣ 갈산역 / 부평IC 인근
▣ 건물 내 편의점, 카페, 식당 입점
▣ 부평국가산업단지
▣ 드라이브인 시스템, 호실 앞 주차 가능
▣ 화물승강기 有",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2206725068,공장,월세,100,"1,000",9983,86,공장24시공인중개사사무소,20220303,,N,1003호,2층 75ㅍ,*2층75평입니다,인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2206443080,지식산업센터,월세,100,"1,000",170,86,모아부동산컨설팅공인,20220302,,Y,936호,제이타워3차 공장  전용26,"9층공장
공장앞 차량진입가능
층고5m
동력25kw(사용량만 자동 측정 전기료부과) 산업단지내라 전기요금이 저렴해요",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
