,지역코드,시군구,법정동,지번,단지,층,전용면적,구분,년,월,일,거래금액,거래유형,중개사소재지,해제사유발생일,해제여부
0,28140,동구,송림동,339,풍림아이원,8,59.97,,2007,7,2,"14,200",,,,
1,28140,동구,송림동,339,풍림아이원,17,59.97,,2007,7,3,"13,850",,,,
2,28140,동구,송림동,8-374,인천 송림동 풍림아이원,14,84.936,입,2007,7,4,"18,200",,,,
3,28140,동구,송림동,8-374,인천 송림동 풍림아이원,12,84.936,입,2007,7,9,"13,600",,,,
4,28140,동구,송림동,339,풍림아이원,17,84.936,,2007,7,11,"27,800",,,,
5,28140,동구,송림동,339,풍림아이원,15,59.97,,2007,7,15,"13,880",,,,
6,28140,동구,송림동,8-374,인천 송림동 풍림아이원,8,84.936,입,2007,7,20,"16,000",,,,
7,28140,동구,송림동,339,풍림아이원,15,59.97,,2007,7,21,"20,200",,,,
8,28140,동구,송림동,339,풍림아이원,14,84.936,,2007,7,24,"20,200",,,,
9,28140,동구,송림동,339,풍림아이원,15,84.936,,2007,8,6,"20,200",,,,
10,28140,동구,송림동,8-374,인천 송림동 풍림아이원,11,84.936,입,2007,8,7,"18,500",,,,
11,28140,동구,송림동,339,풍림아이원,5,59.97,,2007,8,14,"20,200",,,,
12,28140,동구,송림동,339,풍림아이원,8,59.97,,2007,8,17,"20,250",,,,
13,28140,동구,송림동,339,풍림아이원,14,59.97,,2007,8,17,"20,300",,,,
14,28140,동구,송림동,339,풍림아이원,18,59.97,,2007,8,18,"13,850",,,,
15,28140,동구,송림동,339,풍림아이원,18,84.936,,2007,8,18,"20,300",,,,
16,28140,동구,송림동,8-374,인천 송림동 풍림아이원,14,114.53,입,2007,8,21,"28,500",,,,
17,28140,동구,송림동,8-374,인천 송림동 풍림아이원,16,114.53,입,2007,8,24,"28,300",,,,
18,28140,동구,송림동,339,풍림아이원,13,84.936,,2007,9,1,"20,700",,,,
19,28140,동구,송림동,339,풍림아이원,5,59.97,,2007,9,13,"20,200",,,,
20,28140,동구,송림동,8-374,인천 송림동 풍림아이원,14,84.936,입,2007,9,14,"21,000",,,,
21,28140,동구,송림동,339,풍림아이원,11,84.936,,2007,9,17,"20,300",,,,
22,28140,동구,송림동,8-374,인천 송림동 풍림아이원,15,114.53,입,2007,9,28,"29,000",,,,
23,28140,동구,송림동,339,풍림아이원,20,59.97,,2007,9,28,"20,300",,,,
24,28140,동구,송림동,339,풍림아이원,12,114.53,,2007,10,5,"27,200",,,,
25,28140,동구,송림동,8-374,인천 송림동 풍림아이원,8,84.936,입,2007,10,5,"17,610",,,,
26,28140,동구,송림동,8-374,인천 송림동 풍림아이원,6,84.936,입,2007,10,5,"20,000",,,,
27,28140,동구,송림동,8-374,인천 송림동 풍림아이원,8,84.936,입,2007,10,8,"20,500",,,,
28,28140,동구,송림동,339,풍림아이원,10,114.53,,2007,10,10,"27,550",,,,
29,28140,동구,송림동,8-374,인천 송림동 풍림아이원,8,84.936,입,2007,10,10,"20,999",,,,
30,28140,동구,송림동,339,풍림아이원,21,59.97,,2007,10,11,"20,200",,,,
31,28140,동구,송림동,339,풍림아이원,16,84.936,입,2007,10,12,"21,900",,,,
32,28140,동구,송림동,8-374,인천 송림동 풍림아이원,7,84.936,입,2007,10,13,"20,609",,,,
33,28140,동구,송림동,339,풍림아이원,10,84.936,,2007,10,23,"20,300",,,,
34,28140,동구,송림동,339,풍림아이원,17,59.97,,2007,10,23,"20,250",,,,
35,28140,동구,송림동,339,풍림아이원,4,59.97,,2007,10,23,"13,900",,,,
36,28140,동구,송림동,8-374,인천 송림동 풍림아이원,9,84.936,입,2007,10,28,"21,500",,,,
37,28140,동구,송림동,339,풍림아이원,9,59.97,,2007,10,28,"20,300",,,,
38,28140,동구,송림동,339,풍림아이원,15,114.53,,2007,10,30,"20,700",,,,
39,28140,동구,송림동,339,풍림아이원,11,59.97,,2007,11,1,"20,300",,,,
40,28140,동구,송림동,339,풍림아이원,17,59.97,,2007,11,2,"20,700",,,,
41,28140,동구,송림동,343,동산휴먼시아2단지,15,84.99,,2007,11,6,"21,466",,,,
42,28140,동구,송림동,8-374,인천 송림동 풍림아이원,9,84.936,입,2007,11,8,"21,500",,,,
43,28140,동구,송림동,339,풍림아이원,18,84.936,,2007,11,8,"20,600",,,,
44,28140,동구,송림동,8-374,인천 송림동 풍림아이원,5,84.936,,2007,11,8,"21,000",,,,
45,28140,동구,송림동,339,풍림아이원,17,114.53,,2007,11,9,"20,250",,,,
46,28140,동구,송림동,343,동산휴먼시아2단지,16,84.99,,2007,11,9,"21,366",,,,
47,28140,동구,송림동,339,풍림아이원,9,84.936,,2007,11,14,"20,300",,,,
48,28140,동구,송림동,343,동산휴먼시아2단지,5,59.92,,2007,11,14,"15,017",,,,
49,28140,동구,송림동,339,풍림아이원,18,59.97,,2007,11,14,"20,700",,,,
50,28140,동구,송림동,339,풍림아이원,5,59.97,,2007,11,15,"20,250",,,,
51,28140,동구,송림동,343,동산휴먼시아2단지,13,84.98,,2007,11,15,"21,246",,,,
52,28140,동구,송림동,8-374,인천 송림동 풍림아이원,17,84.936,입,2007,11,16,"22,500",,,,
53,28140,동구,송림동,343,동산휴먼시아2단지,10,84.98,,2007,11,16,"21,266",,,,
54,28140,동구,송림동,343,동산휴먼시아2단지,20,84.92,,2007,11,17,"21,266",,,,
55,28140,동구,송림동,339,풍림아이원,5,59.97,,2007,11,17,"20,250",,,,
56,28140,동구,송림동,343,동산휴먼시아2단지,8,108.87,,2007,11,19,"28,215",,,,
57,28140,동구,송림동,343,동산휴먼시아2단지,16,84.99,,2007,11,19,"21,316",,,,
58,28140,동구,송림동,343,동산휴먼시아2단지,14,108.87,,2007,11,19,"28,265",,,,
59,28140,동구,송림동,343,동산휴먼시아2단지,13,108.87,,2007,11,19,"28,235",,,,
60,28140,동구,송림동,343,동산휴먼시아2단지,3,84.98,,2007,11,20,"21,036",,,,
61,28140,동구,송림동,343,동산휴먼시아2단지,9,84.92,,2007,11,20,"21,266",,,,
62,28140,동구,송림동,343,동산휴먼시아2단지,17,59.95,,2007,11,20,"15,047",,,,
63,28140,동구,송림동,343,동산휴먼시아2단지,22,59.98,,2007,11,20,"15,047",,,,
64,28140,동구,송림동,343,동산휴먼시아2단지,16,59.92,,2007,11,20,"15,097",,,,
65,28140,동구,송림동,343,동산휴먼시아2단지,11,84.92,,2007,11,20,"21,266",,,,
66,28140,동구,송림동,343,동산휴먼시아2단지,19,84.92,,2007,11,20,"20,966",,,,
67,28140,동구,송림동,339,풍림아이원,13,59.97,,2007,11,20,"20,300",,,,
68,28140,동구,송림동,343,동산휴먼시아2단지,22,59.95,,2007,11,21,"15,097",,,,
69,28140,동구,송림동,343,동산휴먼시아2단지,11,84.98,,2007,11,21,"21,266",,,,
70,28140,동구,송림동,343,동산휴먼시아2단지,10,84.96,,2007,11,21,"21,316",,,,
71,28140,동구,송림동,343,동산휴먼시아2단지,4,84.92,,2007,11,21,"21,466",,,,
72,28140,동구,송림동,343,동산휴먼시아2단지,1,84.98,,2007,11,21,"20,574",,,,
73,28140,동구,송림동,343,동산휴먼시아2단지,10,84.92,,2007,11,22,"21,266",,,,
74,28140,동구,송림동,8-374,인천 송림동 풍림아이원,9,84.936,입,2007,11,22,"19,000",,,,
75,28140,동구,송림동,343,동산휴먼시아2단지,5,84.98,,2007,11,22,"21,266",,,,
