,지역코드,시군구,법정동,유형,용도지역,건물주용도,건축년도,대지면적,건물면적,년,월,일,거래금액,거래유형,중개사소재지,해제사유발생일,해제여부
0,28140,동구,송현동,집합,준공업,제2종근린생활,1997,,26.06,2006,1,1,"1,800",,,,
1,28140,동구,송현동,집합,준공업,판매,1997,,26.06,2006,1,1,"2,150",,,,
2,28140,동구,송현동,집합,준공업,판매,1997,,30,2006,1,1,"3,500",,,,
3,28140,동구,송현동,집합,준공업,제2종근린생활,1997,,26.06,2006,1,9,"1,700",,,,
4,28140,동구,송현동,집합,준공업,판매,1997,,26.06,2006,1,9,"1,700",,,,
5,28140,동구,송현동,집합,준공업,판매,1997,,30,2006,1,9,"3,400",,,,
6,28140,동구,송현동,집합,제2종일반주거,기타,1983,,42.43,2006,1,24,"4,500",,,,
7,28140,동구,화수동,집합,제2종일반주거,제1종근린생활,1971,,38.34,2006,2,8,"2,500",,,,
8,28140,동구,송현동,집합,준공업,판매,1997,,30.68,2006,2,1,"3,900",,,,
9,28140,동구,송현동,집합,준공업,판매,1997,,26.76,2006,2,1,"1,430",,,,
10,28140,동구,송현동,집합,준공업,제2종근린생활,1997,,26.76,2006,2,1,"1,170",,,,
11,28140,동구,송현동,집합,준공업,판매,1997,,30,2006,2,9,"3,800",,,,
12,28140,동구,송현동,집합,준공업,판매,1997,,30.8,2006,2,9,"3,800",,,,
13,28140,동구,송현동,집합,준공업,판매,1997,,26.06,2006,2,9,"1,500",,,,
14,28140,동구,송현동,집합,준공업,판매,1997,,30,2006,2,9,"3,800",,,,
15,28140,동구,송현동,집합,준공업,판매,1997,,26.06,2006,2,9,"1,500",,,,
16,28140,동구,송현동,집합,준공업,제2종근린생활,1997,,26.76,2006,2,9,"1,500",,,,
17,28140,동구,송현동,집합,준공업,제2종근린생활,1997,,26.06,2006,2,9,"1,500",,,,
18,28140,동구,송현동,집합,준공업,제2종근린생활,1997,,26.06,2006,2,9,"1,500",,,,
19,28140,동구,송현동,집합,준공업,판매,1997,,26.76,2006,2,9,"1,500",,,,
20,28140,동구,송현동,집합,준공업,판매,1997,,30,2006,2,11,"3,500",,,,
21,28140,동구,송현동,집합,준공업,제2종근린생활,1997,,26.06,2006,2,11,"1,570",,,,
22,28140,동구,송현동,집합,준공업,판매,1997,,26.06,2006,2,11,"1,700",,,,
23,28140,동구,송현동,집합,준공업,판매,1997,,30,2006,2,13,"2,300",,,,
24,28140,동구,송현동,집합,준공업,제2종근린생활,1997,,26.06,2006,2,13,"2,200",,,,
25,28140,동구,송현동,집합,준공업,판매,1997,,26.06,2006,2,13,"2,200",,,,
26,28140,동구,송현동,집합,준공업,판매,1997,,30,2006,2,14,"3,500",,,,
27,28140,동구,송현동,집합,준공업,제2종근린생활,1997,,26.06,2006,2,14,"1,650",,,,
28,28140,동구,송현동,집합,준공업,판매,1997,,26.06,2006,2,14,"1,700",,,,
29,28140,동구,송현동,집합,준공업,제2종근린생활,1997,,26.06,2006,2,16,"2,000",,,,
30,28140,동구,송현동,집합,준공업,판매,1997,,26.06,2006,2,16,"2,000",,,,
31,28140,동구,송현동,집합,준공업,판매,1997,,30,2006,2,16,"4,000",,,,
32,28140,동구,송현동,집합,준공업,판매,1997,,30,2006,2,20,"9,000",,,,
33,28140,동구,송현동,집합,준공업,제2종근린생활,1997,,26.06,2006,2,20,"3,000",,,,
34,28140,동구,송현동,집합,준공업,판매,1997,,26.06,2006,2,20,"4,500",,,,
35,28140,동구,송현동,집합,제3종일반주거,제2종근린생활,1993,,20.52,2006,2,25,"5,000",,,,
36,28140,동구,송현동,집합,준공업,제2종근린생활,1997,,26.06,2006,2,27,"1,500",,,,
37,28140,동구,송현동,집합,준공업,판매,1997,,26.06,2006,2,27,"1,700",,,,
38,28140,동구,송현동,집합,준공업,판매,1997,,62.8,2006,3,3,"3,800",,,,
39,28140,동구,송현동,집합,준공업,판매,1997,,26.76,2006,3,4,"1,700",,,,
40,28140,동구,송현동,집합,준공업,판매,1997,,30.8,2006,3,4,"3,400",,,,
41,28140,동구,송현동,집합,준공업,제2종근린생활,1997,,26.76,2006,3,4,"1,700",,,,
42,28140,동구,송현동,집합,제3종일반주거,제2종근린생활,2003,,28.08,2006,3,6,"7,800",,,,
43,28140,동구,송현동,집합,준공업,판매,1997,,30,2006,3,10,"3,800",,,,
44,28140,동구,송현동,집합,준공업,제2종근린생활,1997,,26.06,2006,3,10,"1,500",,,,
45,28140,동구,송현동,집합,준공업,판매,1997,,26.06,2006,3,10,"1,500",,,,
