지역코드,시군구,법정동,유형,용도지역,건물주용도,건축년도,대지면적,건물면적,년,월,일,거래금액,거래유형,중개사소재지,해제사유발생일,해제여부,datetime,Datetime
28237,부평구,부평동,일반,일반상업,기타,1994,119.3,429.8,2006,1,5,"145,000",,,,,2006-01-05,2006-01-05
28237,부평구,부평동,집합,일반상업,제2종근린생활,2005,,185.1,2006,1,5,"11,826",,,,,2006-01-05,2006-01-05
28237,부평구,부평동,집합,일반상업,제2종근린생활,2005,,52.67,2006,1,6,"28,300",,,,,2006-01-06,2006-01-06
28237,부평구,부평동,집합,일반상업,제1종근린생활,2004,,57.42,2006,1,9,"52,100",,,,,2006-01-09,2006-01-09
28237,부평구,부평동,집합,일반상업,제2종근린생활,2004,,88.14,2006,1,10,520,,,,,2006-01-10,2006-01-10
28237,부평구,부평동,집합,일반상업,제2종근린생활,2004,,90.4,2006,1,10,540,,,,,2006-01-10,2006-01-10
28237,부평구,부평동,집합,일반상업,제2종근린생활,2004,,57,2006,1,10,340,,,,,2006-01-10,2006-01-10
28237,부평구,부평동,집합,일반상업,제2종근린생활,2004,,120.08,2006,1,10,720,,,,,2006-01-10,2006-01-10
28237,부평구,부평동,집합,일반상업,제2종근린생활,2004,,137.34,2006,1,10,820,,,,,2006-01-10,2006-01-10
28237,부평구,부평동,집합,일반상업,제2종근린생활,2004,,128.52,2006,1,10,760,,,,,2006-01-10,2006-01-10
28237,부평구,부평동,집합,일반상업,제2종근린생활,2004,,98.28,2006,1,10,580,,,,,2006-01-10,2006-01-10
28237,부평구,부평동,집합,일반상업,제2종근린생활,2004,,98.28,2006,1,10,580,,,,,2006-01-10,2006-01-10
28237,부평구,부평동,집합,일반상업,제2종근린생활,2004,,97.28,2006,1,10,580,,,,,2006-01-10,2006-01-10
28237,부평구,부평동,집합,일반상업,제2종근린생활,2004,,57,2006,1,10,340,,,,,2006-01-10,2006-01-10
28237,부평구,부평동,집합,일반상업,제2종근린생활,2004,,90.4,2006,1,10,540,,,,,2006-01-10,2006-01-10
