,지역코드,시군구,법정동,용도지역,지목,거래면적,거래금액,년,월,일,거래유형,중개사소재지,해제사유발생일,해제여부
0,28110,중구,신흥동1가,일반상업지역,대,"3,319","200,800",2006,1,19,,,,
1,28110,중구,유동,제2종일반주거지역,대,52,"3,302",2006,1,5,,,,
2,28110,중구,유동,제2종일반주거지역,대,47,"2,964",2006,1,5,,,,
3,28110,중구,중산동,자연녹지지역,전,800,"14,520",2006,1,3,,,,
4,28110,중구,중산동,자연녹지지역,대,666,"21,600",2006,1,3,,,,
5,28110,중구,중산동,자연녹지지역,답,612,"7,844",2006,1,6,,,,
6,28110,중구,중산동,자연녹지지역,전,410,"6,572",2006,1,6,,,,
7,28110,중구,중산동,자연녹지지역,전,"1,874","24,041",2006,1,6,,,,
8,28110,중구,중산동,생산녹지지역,답,929,"14,050",2006,1,6,,,,
9,28110,중구,중산동,자연녹지지역,유원지,"1,653","20,000",2006,1,10,,,,
10,28110,중구,중산동,자연녹지지역,답,724,"12,540",2006,1,12,,,,
11,28110,중구,중산동,자연녹지지역,임야,590,"12,104",2006,1,12,,,,
12,28110,중구,중산동,자연녹지지역,답,132,"2,000",2006,1,13,,,,
13,28110,중구,중산동,자연녹지지역,도로,134,486,2006,1,14,,,,
14,28110,중구,중산동,자연녹지지역,임야,"1,303","15,760",2006,1,14,,,,
15,28110,중구,중산동,자연녹지지역,답,545,"10,500",2006,1,17,,,,
16,28110,중구,중산동,자연녹지지역,답,486,"9,470",2006,1,17,,,,
17,28110,중구,중산동,생산녹지지역,답,"1,503","22,500",2006,1,20,,,,
18,28110,중구,중산동,자연녹지지역,답,"1,193","16,240",2006,1,25,,,,
19,28110,중구,운남동,자연녹지지역,전,623,"9,770",2006,1,5,,,,
20,28110,중구,운남동,제1종일반주거지역,임야,608,"14,000",2006,1,10,,,,
21,28110,중구,운남동,자연녹지지역,답,"1,547","44,460",2006,1,10,,,,
22,28110,중구,운남동,생산녹지지역,답,"1,917","46,400",2006,1,11,,,,
23,28110,중구,운남동,생산녹지지역,답,"2,284","55,280",2006,1,11,,,,
24,28110,중구,운남동,보전녹지지역,임야,661,"4,000",2006,1,12,,,,
25,28110,중구,운남동,자연녹지지역,임야,"2,646","48,000",2006,1,23,,,,
26,28110,중구,운남동,자연녹지지역,전,961,"18,915",2006,1,26,,,,
27,28110,중구,운남동,자연녹지지역,전,401,"7,865",2006,1,26,,,,
28,28110,중구,운남동,생산녹지지역,답,37,"2,400",2006,1,31,,,,
29,28110,중구,운서동,제1종전용주거지역,대,315,"20,500",2006,1,16,,,,
30,28110,중구,운서동,자연녹지지역,답,330,"5,160",2006,1,17,,,,
31,28110,중구,운서동,제1종전용주거지역,대,248,"12,500",2006,1,20,,,,
32,28110,중구,운북동,자연녹지지역,답,"1,983","27,600",2006,1,5,,,,
33,28110,중구,운북동,자연녹지지역,답,"1,983","25,800",2006,1,6,,,,
34,28110,중구,운북동,생산녹지지역,답,"1,983","25,800",2006,1,6,,,,
35,28110,중구,운북동,생산녹지지역,답,"1,983","24,000",2006,1,11,,,,
36,28110,중구,운북동,자연녹지지역,답,754,"15,960",2006,1,12,,,,
37,28110,중구,운북동,자연녹지지역,임야,"1,322","20,000",2006,1,13,,,,
38,28110,중구,운북동,보전녹지지역,임야,231,"1,400",2006,1,16,,,,
39,28110,중구,운북동,자연녹지지역,전,330,"7,000",2006,1,17,,,,
40,28110,중구,운북동,자연녹지지역,전,"2,645","56,000",2006,1,17,,,,
41,28110,중구,운북동,자연녹지지역,전,"1,653","35,000",2006,1,17,,,,
42,28110,중구,운북동,자연녹지지역,답,"1,989","35,000",2006,1,17,,,,
43,28110,중구,운북동,자연녹지지역,전,"2,621","55,500",2006,1,17,,,,
44,28110,중구,운북동,자연녹지지역,전,"1,000","21,100",2006,1,17,,,,
45,28110,중구,운북동,자연녹지지역,전,753,"15,960",2006,1,17,,,,
46,28110,중구,운북동,자연녹지지역,전,661,"14,000",2006,1,18,,,,
47,28110,중구,운북동,자연녹지지역,전,331,"7,000",2006,1,23,,,,
48,28110,중구,운북동,생산녹지지역,답,"1,911","26,000",2006,1,25,,,,
49,28110,중구,을왕동,자연녹지지역,전,"2,502","37,800",2006,1,6,,,,
50,28110,중구,을왕동,보전녹지지역,임야,"9,433","70,668",2006,1,16,,,,
51,28110,중구,을왕동,자연녹지지역,답,"1,231","19,300",2006,1,16,,,,
52,28110,중구,을왕동,자연녹지지역,답,317,"5,950",2006,1,25,,,,
53,28110,중구,을왕동,자연녹지지역,답,"1,964","36,830",2006,1,25,,,,
54,28110,중구,남북동,자연녹지지역,답,"2,834","47,135",2006,1,11,,,,
55,28110,중구,남북동,자연녹지지역,답,664,"9,000",2006,1,13,,,,
56,28110,중구,남북동,자연녹지지역,전,804,"26,600",2006,1,15,,,,
57,28110,중구,남북동,자연녹지지역,답,"2,185","26,440",2006,1,17,,,,
58,28110,중구,남북동,자연녹지지역,답,144,"3,478",2006,1,18,,,,
59,28110,중구,남북동,자연녹지지역,전,"1,512","36,522",2006,1,18,,,,
60,28110,중구,남북동,자연녹지지역,답,"1,722","20,319",2006,1,25,,,,
61,28110,중구,무의동,자연녹지지역,임야,826,"4,500",2006,1,24,,,,
62,28110,중구,신생동,준공업지역,대,"3,378","214,620",2006,2,10,,,,
63,28110,중구,중산동,자연녹지지역,답,638,"14,470",2006,2,1,,,,
64,28110,중구,중산동,자연녹지지역,답,636,"14,433",2006,2,1,,,,
65,28110,중구,중산동,자연녹지지역,답,636,"14,425",2006,2,1,,,,
66,28110,중구,중산동,자연녹지지역,유원지,"1,654","20,000",2006,2,2,,,,
67,28110,중구,중산동,자연녹지지역,유원지,827,"10,000",2006,2,2,,,,
68,28110,중구,중산동,자연녹지지역,유원지,"1,442","19,620",2006,2,3,,,,
69,28110,중구,중산동,자연녹지지역,전,"4,937","64,221",2006,2,6,,,,
70,28110,중구,중산동,자연녹지지역,전,"4,980","64,779",2006,2,6,,,,
71,28110,중구,중산동,생산녹지지역,답,"1,367","26,878",2006,2,8,,,,
72,28110,중구,중산동,생산녹지지역,답,"1,507","19,380",2006,2,15,,,,
73,28110,중구,중산동,자연녹지지역,전,746,"11,978",2006,2,17,,,,
74,28110,중구,중산동,자연녹지지역,전,767,"12,296",2006,2,17,,,,
75,28110,중구,중산동,자연녹지지역,전,140,"2,226",2006,2,17,,,,
76,28110,중구,중산동,생산녹지지역,답,"2,215","46,900",2006,2,17,,,,
77,28110,중구,중산동,자연녹지지역,전,"1,983","27,000",2006,2,18,,,,
78,28110,중구,중산동,생산녹지지역,답,879,"13,030",2006,2,20,,,,
79,28110,중구,중산동,생산녹지지역,답,"1,894","29,230",2006,2,20,,,,
80,28110,중구,중산동,생산녹지지역,답,"1,729","25,631",2006,2,20,,,,
81,28110,중구,중산동,자연녹지지역,전,600,"26,400",2006,2,20,,,,
82,28110,중구,중산동,자연녹지지역,답,"1,927","29,150",2006,2,20,,,,
83,28110,중구,중산동,자연녹지지역,유원지,"1,653","22,500",2006,2,24,,,,
84,28110,중구,중산동,자연녹지지역,임야,"6,645","64,320",2006,2,24,,,,
85,28110,중구,중산동,생산녹지지역,답,757,"14,198",2006,2,24,,,,
86,28110,중구,중산동,생산녹지지역,답,"2,301","41,760",2006,2,24,,,,
87,28110,중구,중산동,자연녹지지역,답,286,"6,880",2006,2,27,,,,
88,28110,중구,중산동,자연녹지지역,답,858,"20,800",2006,2,27,,,,
89,28110,중구,운남동,자연녹지지역,전,"1,362","26,780",2006,2,2,,,,
90,28110,중구,운남동,생산녹지지역,답,"3,286","61,628",2006,2,3,,,,
91,28110,중구,운남동,생산녹지지역,답,"2,099","44,450",2006,2,6,,,,
92,28110,중구,운남동,생산녹지지역,답,638,"17,756",2006,2,10,,,,
93,28110,중구,운남동,생산녹지지역,답,496,"13,800",2006,2,10,,,,
94,28110,중구,운남동,생산녹지지역,답,198,"5,520",2006,2,10,,,,
95,28110,중구,운남동,생산녹지지역,답,615,"17,112",2006,2,10,,,,
96,28110,중구,운남동,생산녹지지역,답,"3,726","103,684",2006,2,10,,,,
97,28110,중구,운남동,생산녹지지역,답,952,"26,496",2006,2,10,,,,
98,28110,중구,운남동,자연녹지지역,답,661,"9,000",2006,2,24,,,,
99,28110,중구,운북동,자연녹지지역,답,"1,785","37,760",2006,2,3,,,,
100,28110,중구,운북동,자연녹지지역,답,"1,031","21,950",2006,2,3,,,,
101,28110,중구,운북동,자연녹지지역,답,664,"14,000",2006,2,3,,,,
102,28110,중구,운북동,자연녹지지역,답,793,"16,730",2006,2,3,,,,
103,28110,중구,운북동,자연녹지지역,답,"1,521","39,946",2006,2,10,,,,
104,28110,중구,운북동,보전녹지지역,전,754,"8,892",2006,2,10,,,,
105,28110,중구,운북동,자연녹지지역,답,"1,203","34,214",2006,2,10,,,,
106,28110,중구,운북동,자연녹지지역,전,426,"7,200",2006,2,14,,,,
107,28110,중구,운북동,자연녹지지역,답,"1,431","31,390",2006,2,17,,,,
108,28110,중구,운북동,자연녹지지역,전,503,"9,500",2006,2,24,,,,
109,28110,중구,을왕동,자연녹지지역,임야,"1,521","18,070",2006,2,7,,,,
110,28110,중구,을왕동,자연녹지지역,답,539,"41,362",2006,2,15,,,,
111,28110,중구,을왕동,자연녹지지역,답,"1,620","124,315",2006,2,15,,,,
112,28110,중구,을왕동,자연녹지지역,전,330,"25,323",2006,2,15,,,,
113,28110,중구,을왕동,자연녹지지역,전,225,"2,500",2006,2,17,,,,
114,28110,중구,을왕동,자연녹지지역,답,426,"5,160",2006,2,17,,,,
115,28110,중구,을왕동,자연녹지지역,전,734,"11,100",2006,2,24,,,,
116,28110,중구,남북동,자연녹지지역,답,265,"9,300",2006,2,3,,,,
117,28110,중구,남북동,자연녹지지역,답,433,"15,200",2006,2,3,,,,
118,28110,중구,남북동,자연녹지지역,답,96,"3,500",2006,2,3,,,,
119,28110,중구,남북동,자연녹지지역,답,"1,048","13,627",2006,2,6,,,,
120,28110,중구,남북동,자연녹지지역,전,774,"10,064",2006,2,6,,,,
121,28110,중구,남북동,자연녹지지역,답,370,"4,000",2006,2,7,,,,
122,28110,중구,남북동,자연녹지지역,답,671,"9,200",2006,2,10,,,,
123,28110,중구,덕교동,자연녹지지역,전,40,480,2006,2,6,,,,
124,28110,중구,덕교동,자연녹지지역,임야,162,"5,390",2006,2,17,,,,
125,28110,중구,덕교동,보전녹지지역,임야,631,"11,800",2006,2,24,,,,
126,28110,중구,무의동,자연녹지지역,답,80,400,2006,2,7,,,,
127,28110,중구,무의동,보전녹지지역,임야,"1,653","2,600",2006,2,13,,,,
128,28110,중구,무의동,자연녹지지역,전,363,"5,300",2006,2,20,,,,
129,28110,중구,무의동,자연녹지지역,전,202,"3,150",2006,2,20,,,,
130,28110,중구,항동7가,일반상업지역,잡종지,652,"39,000",2006,3,7,,,,
131,28110,중구,항동7가,일반상업지역,잡종지,428,"39,000",2006,3,7,,,,
132,28110,중구,항동7가,준공업지역,잡종지,441,"13,393",2006,3,22,,,,
133,28110,중구,항동7가,준공업지역,잡종지,52,"3,214",2006,3,22,,,,
134,28110,중구,항동7가,준공업지역,잡종지,63,"2,200",2006,3,31,,,,
135,28110,중구,신흥동3가,일반상업지역,대,128,"14,000",2006,3,13,,,,
136,28110,중구,선화동,제2종일반주거지역,대,11,"3,000",2006,3,25,,,,
137,28110,중구,도원동,일반상업지역,대,3,500,2006,3,25,,,,
138,28110,중구,인현동,일반상업지역,대,19,800,2006,3,31,,,,
139,28110,중구,중산동,자연녹지지역,유원지,"1,653","25,000",2006,3,14,,,,
140,28110,중구,중산동,자연녹지지역,답,208,"8,190",2006,3,21,,,,
141,28110,중구,중산동,자연녹지지역,답,977,"17,830",2006,3,28,,,,
142,28110,중구,중산동,자연녹지지역,도로,168,"1,000",2006,3,28,,,,
143,28110,중구,중산동,자연녹지지역,유원지,"1,653","25,000",2006,3,28,,,,
144,28110,중구,중산동,자연녹지지역,유원지,"1,653","25,000",2006,3,28,,,,
145,28110,중구,중산동,자연녹지지역,답,"3,078","56,170",2006,3,28,,,,
146,28110,중구,운남동,생산녹지지역,답,"1,544","27,086",2006,3,3,,,,
147,28110,중구,운남동,자연녹지지역,전,957,"43,400",2006,3,6,,,,
148,28110,중구,운남동,자연녹지지역,전,"1,051","30,950",2006,3,7,,,,
149,28110,중구,운남동,자연녹지지역,답,853,"13,470",2006,3,8,,,,
150,28110,중구,운남동,생산녹지지역,답,"1,078","20,200",2006,3,8,,,,
151,28110,중구,운남동,자연녹지지역,전,45,"1,768",2006,3,17,,,,
152,28110,중구,운남동,자연녹지지역,전,60,"2,417",2006,3,17,,,,
153,28110,중구,운남동,자연녹지지역,전,606,"24,705",2006,3,17,,,,
154,28110,중구,운남동,자연녹지지역,전,615,"25,110",2006,3,17,,,,
155,28110,중구,운남동,생산녹지지역,답,"2,266","37,600",2006,3,22,,,,
156,28110,중구,운남동,자연녹지지역,전,"2,787","80,100",2006,3,24,,,,
157,28110,중구,운남동,자연녹지지역,전,492,"14,140",2006,3,24,,,,
158,28110,중구,운남동,자연녹지지역,답,474,"7,600",2006,3,27,,,,
159,28110,중구,운남동,생산녹지지역,대,90,"6,800",2006,3,30,,,,
160,28110,중구,운서동,제1종전용주거지역,대,286,"18,186",2006,3,27,,,,
161,28110,중구,운서동,제1종전용주거지역,대,248,"21,432",2006,3,30,,,,
162,28110,중구,운북동,자연녹지지역,전,"1,478","30,200",2006,3,2,,,,
163,28110,중구,운북동,자연녹지지역,답,"1,105","15,050",2006,3,15,,,,
164,28110,중구,운북동,자연녹지지역,답,598,"8,150",2006,3,15,,,,
165,28110,중구,운북동,자연녹지지역,답,301,"4,100",2006,3,15,,,,
166,28110,중구,운북동,자연녹지지역,답,280,"3,800",2006,3,15,,,,
167,28110,중구,운북동,자연녹지지역,답,"1,224","16,700",2006,3,15,,,,
168,28110,중구,운북동,자연녹지지역,답,458,"6,200",2006,3,15,,,,
169,28110,중구,운북동,생산녹지지역,답,"1,881","31,800",2006,3,16,,,,
170,28110,중구,운북동,보전녹지지역,전,"1,141","22,000",2006,3,21,,,,
171,28110,중구,운북동,자연녹지지역,전,"1,653","41,000",2006,3,23,,,,
172,28110,중구,운북동,보전녹지지역,답,401,"4,600",2006,3,31,,,,
173,28110,중구,을왕동,자연녹지지역,대,9,550,2006,3,13,,,,
174,28110,중구,을왕동,자연녹지지역,전,197,"12,000",2006,3,13,,,,
175,28110,중구,을왕동,자연녹지지역,전,500,"30,450",2006,3,13,,,,
176,28110,중구,을왕동,자연녹지지역,도로,56,240,2006,3,20,,,,
177,28110,중구,을왕동,자연녹지지역,답,793,"16,800",2006,3,21,,,,
178,28110,중구,을왕동,자연녹지지역,답,337,"7,140",2006,3,21,,,,
179,28110,중구,을왕동,보전녹지지역,임야,601,"16,360",2006,3,27,,,,
180,28110,중구,을왕동,보전녹지지역,임야,63,"1,700",2006,3,27,,,,
181,28110,중구,남북동,자연녹지지역,답,469,"7,100",2006,3,6,,,,
182,28110,중구,남북동,자연녹지지역,답,304,"4,600",2006,3,6,,,,
183,28110,중구,남북동,자연녹지지역,전,11,170,2006,3,8,,,,
184,28110,중구,남북동,자연녹지지역,전,95,"1,730",2006,3,8,,,,
185,28110,중구,남북동,자연녹지지역,전,291,"5,300",2006,3,8,,,,
186,28110,중구,남북동,자연녹지지역,답,76,623,2006,3,14,,,,
187,28110,중구,남북동,자연녹지지역,전,754,"13,680",2006,3,16,,,,
188,28110,중구,남북동,보전녹지지역,임야,"1,653","7,000",2006,3,17,,,,
189,28110,중구,남북동,자연녹지지역,답,595,"10,000",2006,3,20,,,,
190,28110,중구,남북동,자연녹지지역,전,708,"18,000",2006,3,29,,,,
191,28110,중구,남북동,자연녹지지역,전,115,"4,500",2006,3,31,,,,
192,28110,중구,남북동,자연녹지지역,전,"1,049","40,500",2006,3,31,,,,
193,28110,중구,덕교동,자연녹지지역,전,949,"9,200",2006,3,2,,,,
194,28110,중구,덕교동,자연녹지지역,임야,533,"12,880",2006,3,3,,,,
195,28110,중구,덕교동,자연녹지지역,임야,811,"19,600",2006,3,3,,,,
196,28110,중구,덕교동,자연녹지지역,전,152,"6,040",2006,3,9,,,,
197,28110,중구,덕교동,자연녹지지역,전,349,"13,960",2006,3,9,,,,
198,28110,중구,덕교동,자연녹지지역,답,228,"3,000",2006,3,15,,,,
199,28110,중구,덕교동,자연녹지지역,전,813,"25,000",2006,3,29,,,,
200,28110,중구,덕교동,자연녹지지역,대,102,"7,000",2006,3,29,,,,
201,28110,중구,항동7가,준공업지역,잡종지,650,"55,000",2006,4,9,,,,
202,28110,중구,항동7가,일반상업지역,잡종지,"20,486","1,800,000",2006,4,13,,,,
203,28110,중구,답동,제2종일반주거지역,대,36,"1,460",2006,4,29,,,,
204,28110,중구,신흥동1가,일반상업지역,대,19,"2,100",2006,4,27,,,,
205,28110,중구,신흥동1가,일반상업지역,대,27,"3,000",2006,4,27,,,,
206,28110,중구,신흥동3가,일반상업지역,대,26,600,2006,4,13,,,,
207,28110,중구,신흥동3가,일반상업지역,대,8,200,2006,4,13,,,,
